Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,993)","(n = 1,387)",(n = 606),"(n = 1,940)","(n = 1,661)",(n = 279),"(n = 2,399)","(n = 1,847)",(n = 552),"(n = 2,051)","(n = 1,640)",(n = 411)
,(Percent of farmers),,,,,,,,,,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 56),(n = 38),(n = 18),(n = 54),(n = 45),(n = 9),(n = 59),(n = 59),(n = 0),(n = 57),(n = 56),(n = 1)
,(Percent of farmers),,,,,,,,,,,
Urea,66,68,61,63,56,100,5,5,0,51,50,100
14-14-14,32,42,11,33,36,22,46,46,0,53,52,100
45-0-0,0,0,0,0,0,0,78,78,0,33,34,0
Ammonium sulfate,5,8,0,7,9,0,15,15,0,16,16,0
45-0-0,18,16,22,9,11,0,0,0,0,0,0,0
Crop giant,4,0,11,0,0,0,3,3,0,4,4,0
Guano,2,3,0,4,4,0,0,0,0,2,2,0
16-20-0,2,3,0,0,0,0,2,2,0,4,4,0
Compost,0,0,0,0,0,0,7,7,0,0,0,0
Organic,2,3,0,0,0,0,0,0,0,2,2,0
Crop gaint,2,0,6,0,0,0,0,0,0,0,0,0
Mega grow,2,0,6,0,0,0,0,0,0,0,0,0
Quezon,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 52),(n = 39),(n = 13),(n = 52),(n = 32),(n = 20),(n = 60),(n = 34),(n = 26),(n = 59),(n = 29),(n = 30)
,(Percent of farmers),,,,,,,,,,,
Urea,56,56,54,69,69,70,40,56,19,53,62,43
14-14-14,54,67,15,48,53,40,50,50,50,54,62,47
16-20-0,17,23,0,6,9,0,10,9,12,3,3,3
45-0-0,25,33,0,2,3,0,0,0,0,0,0,0
45-0-0,0,0,0,0,0,0,10,12,8,7,3,10
Guano,0,0,0,0,0,0,2,3,0,7,14,0
Compost,2,3,0,2,3,0,3,6,0,2,3,0
Organic,6,8,0,4,6,0,0,0,0,0,0,0
Ammonium sulfate,0,0,0,0,0,0,3,3,4,3,3,3
Occidental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 51),(n = 26),(n = 25),(n = 25),(n = 25),(n = 0),(n = 60),(n = 43),(n = 17),(n = 33),(n = 33),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Urea,96,92,100,92,92,0,92,95,82,100,100,0
14-14-14,78,77,80,72,72,0,85,79,100,88,88,0
16-20-0,8,8,8,0,0,0,12,14,6,21,21,0
Ammonium sulfate,4,0,8,8,8,0,2,2,0,0,0,0
45-0-0,0,0,0,0,0,0,8,5,18,0,0,0
Azolla,4,0,8,0,0,0,0,0,0,0,0,0
17-0-17,0,0,0,0,0,0,2,2,0,3,3,0
Crop giant,2,0,4,0,0,0,2,2,0,0,0,0
16-16-16,0,0,0,4,4,0,0,0,0,0,0,0
Mrg,0,0,0,0,0,0,0,0,0,3,3,0
Oriental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 85),(n = 67),(n = 18),(n = 86),(n = 82),(n = 4),(n = 82),(n = 73),(n = 9),(n = 86),(n = 70),(n = 16)
,(Percent of farmers),,,,,,,,,,,
Urea,76,82,56,65,65,75,80,81,78,78,80,69
14-14-14,53,58,33,58,60,25,61,67,11,63,70,31
Ammonium sulfate,47,46,50,28,28,25,43,44,33,43,41,50
16-20-0,18,15,28,3,4,0,5,5,0,2,3,0
0-0-60,9,10,6,2,2,0,1,1,0,1,1,0
21-0-24,0,0,0,0,0,0,4,4,0,2,1,6
25-0-0,1,1,0,0,0,0,2,3,0,3,4,0
17-0-17,4,4,0,2,2,0,1,1,0,0,0,0
Crop giant,0,0,0,0,0,0,2,3,0,2,3,0
Nutrigrow,0,0,0,0,0,0,0,0,0,2,1,6
21-0-0-24,0,0,0,0,0,0,0,0,0,3,4,0
45-0-0,0,0,0,3,4,0,0,0,0,0,0,0
Albay,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Fertilizer applied,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 49),(n = 30),(n = 19),(n = 49),(n = 30),(n = 19),(n = 60),(n = 49),(n = 11),(n = 60),(n = 52),(n = 8)
,(Percent of farmers),,,,,,,,,,,
Urea,43,40,47,76,90,53,62,63,55,50,48,63
14-14-14,33,33,32,43,30,63,60,55,82,63,60,88
45-0-0,0,0,0,0,0,0,28,35,0,40,46,0
