Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 5),,(n = 5),,(n = 0),,(n = 8),,(n = 3),,(n = 5),,(n = 9),,(n = 8),,(n = 1),,(n = 16),,(n = 14),,(n = 2),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),4770,1725,4770,1725,0,0,2000,845,1667,764,2200,908,4659,2026,4586,2153,5250,0,2713,1103,2800,1149,2100,495
Loan Period (number of months),4,0,4,0,0,0,3,1,3,0,2,1,3,0,3,0,3,0,4,1,4,1,4,0
Monthly interest rate (percent),10,0,10,0,0,0,8,3,8,3,8,3,10,4,10,4,15,0,12,4,12,4,11,0
Zamboanga del Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 3),,(n = 2),,(n = 1),,(n = 7),,(n = 4),,(n = 3),,(n = 10),,(n = 8),,(n = 2),,(n = 4),,(n = 4),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),4912,2893,6368,2005,2000,0,4430,3187,5528,3798,2967,1790,48550,91797,60313,100218,1500,707,20875,15179,20875,15179,0,0
Loan Period (number of months),4,1,3,0,5,0,5,3,6,4,3,1,3,1,3,1,2,1,4,1,4,1,0,0
Monthly interest rate (percent),17,6,20,3,11,0,9,5,6,3,12,6,1,1,1,1,1,1,1,1,1,1,0,0
Zamboanga del Sur,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
