Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Thiophanate methyl,--,--,--,--,--,--,2.94,3.48,--,--,--,--
Propineb,--,--,--,--,--,--,2.94,3.48,--,--,--,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,41.18,40,47.62,26.83,27.16,--
Butachlor + propanil,--,--,--,--,--,--,0.74,0.87,--,1.22,--,100
Bispyribac sodium,--,--,--,--,--,--,13.24,13.04,14.29,12.2,12.35,--
Butachlor,--,--,--,--,--,--,10.29,12.17,--,10.98,11.11,--
Pyribenzoxim,--,--,--,--,--,--,2.21,1.74,4.76,6.1,6.17,--
MCPA,--,--,--,--,--,--,2.21,1.74,4.76,--,--,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,2.21,2.61,--,1.22,1.23,--
Cagayan,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 100),(n = 77),(n = 23),(n = 94),(n = 68),(n = 26),(n = 111),(n = 87),(n = 24),(n = 110),(n = 86),(n = 24)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,54,50.65,65.22,80.85,75,96.15,80.18,78.16,87.5,83.64,80.23,95.83
Lambdacyhalothrin,10,12.99,--,15.96,22.06,--,16.22,19.54,4.17,4.55,5.81,--
Chlorpyrifos + BPMC,3,3.9,--,4.26,2.94,7.69,5.41,4.6,8.33,6.36,4.65,12.5
Chlorpyrifos,1,1.3,--,--,--,--,1.8,--,8.33,3.64,4.65,--
Deltamethrin,1,1.3,--,1.06,1.47,--,5.41,6.9,--,0.91,1.16,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,3.6,3.45,4.17,1.82,2.33,--
Malathion,--,--,--,1.06,--,3.85,0.9,--,4.17,0.91,--,4.17
Chlorpyrifos + cypermthrin,2,2.6,--,2.13,2.94,--,0.9,1.15,--,0.91,1.16,--
Carbofuran,1,1.3,--,--,--,--,1.8,2.3,--,1.82,2.33,--
Methomyl,1,1.3,--,--,--,--,0.9,1.15,--,0.91,--,4.17
Betacypermethrin,--,--,--,--,--,--,1.8,2.3,--,1.82,2.33,--
Chlorantrailiprole,--,--,--,--,--,--,1.8,1.15,4.17,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide,60,66.23,39.13,5.32,7.35,--,--,--,--,71.82,74.42,62.5
Niclosamide ethanolamine salt,16,10.39,34.78,36.17,35.29,38.46,--,--,--,24.55,22.09,33.33
Metaldehyde,2,--,8.7,1.06,--,3.85,--,--,--,1.82,2.33,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,3,3.9,--,2.13,2.94,--,0.9,--,4.17,4.55,5.81,--
Coumatetralyl,1,1.3,--,--,--,--,4.5,4.6,4.17,3.64,3.49,4.17
Fungicide,,,,,,,,,,,,
Thiophanate methyl,--,--,--,1.06,1.47,--,0.9,--,4.17,--,--,--
Mancozeb,2,2.6,--,--,--,--,--,--,--,0.91,1.16,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,14.41,13.79,16.67,20,18.6,25
Pretilachlor,--,--,--,--,--,--,18.02,17.24,20.83,15.45,18.6,4.17
Butachlor,--,--,--,--,--,--,13.51,13.79,12.5,13.64,15.12,8.33
Metsulfuron methyl +,--,--,--,--,--,--,1.8,2.3,--,1.82,1.16,4.17
Butachlor + propanil,--,--,--,--,--,--,1.8,2.3,--,0.91,1.16,--
Butachlor + safener,--,--,--,--,--,--,2.7,3.45,--,--,--,--
Isabela,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
